time,body_id,mass,x,y,z,vx,vy,vz
80000.0,9,9.6333450285479e+24,-682811003.4085659,756563140.3318509,139965782.7416595,-276.7575346499775,-556.8978298713563,-560.043009433905
90000.0,0,1.554118165150887e+23,-837986012.4844769,-148797778.51478174,-505009433.8234904,637.3919630510278,-285.11694540085665,60.84865431651351
90000.0,1,2.6523384296295672e+23,197863809.33411187,503765366.23332304,-148497823.74085072,-215.54388073205206,-236.0754026562838,-403.046703951274
90000.0,2,9.406705410554697e+24,-681717631.7658155,-131861070.51907738,-317528161.3228675,-340.9483563262685,-243.0600025661055,-492.9859763562471
90000.0,3,3.358963612509865e+24,-726204582.0264782,498803087.24092597,-852959329.9424417,47.39029837347862,-276.54116336754333,-326.14017869576236
90000.0,4,7.418048871488694e+24,813203938.3263147,39767322.176061474,-809439938.578714,-274.06366134604843,489.67545673527496,-396.87954691787075
90000.0,5,3.685693586328256e+24,-262680762.052209,408328363.69254315,-631148277.1243534,124.89999120470026,300.81061818812816,-373.37217504024824
90000.0,6,6.226357146557448e+24,52624414.4294278,-574484205.0357083,127667268.38136287,291.29265609790036,170.43428448424743,-577.7573121391628
90000.0,7,8.465520410768719e+24,207126574.03636897,875357718.0682569,200294422.41034216,-198.62855814499528,2.7378527251374982,-563.7742942316881
90000.0,8,6.293250332675079e+24,575108565.141994,-154525687.05893284,-68531052.21348669,-484.43422655757234,352.4410598596756,-550.4537053991257
90000.0,9,9.6333450285479e+24,-685521095.0575409,750946734.0801107,134326711.51069808,-265.25512341803113,-566.3799358811623,-567.7816696188129
100000.0,0,1.554118165150887e+23,-831213169.240253,-151556631.95388573,-503968512.8322051,718.0094627551578,-266.42167192692784,148.8542451416477
100000.0,1,2.6523384296295672e+23,195662399.41238338,501415713.568958,-152480285.49901682,-224.72735808919546,-233.86514409936362,-393.48169797606937
100000.0,2,9.406705410554697e+24,-685073890.5634214,-134234463.75034207,-322454850.2919148,-330.31874365808557,-231.6121698317516,-492.3691051301503
100000.0,3,3.358963612509865e+24,-725659082.3668337,495994664.7781979,-856123010.6648642,61.713486857160795,-285.1325209878402,-306.58195603090326
100000.0,4,7.418048871488694e+24,810409181.599096,44665326.921156995,-813351057.6758236,-284.8974538569195,489.91940397508495,-385.3395310550949
100000.0,5,3.685693586328256e+24,-261471788.60630816,411304348.85075647,-634813399.031465,116.90155015400863,294.3791757032878,-359.6585310209143
100000.0,6,6.226357146557448e+24,55542176.50786283,-572697658.6109864,121846180.23875177,292.2592651848475,186.89400417966525,-586.4646038779924
100000.0,7,8.465520410768719e+24,205093111.1046192,875328493.9003398,194620827.09802908,-208.05625006440187,-8.597266331630198,-570.9496016651109
100000.0,8,6.293250332675079e+24,570196190.971247,-150981973.4637198,-74062440.84076603,-498.0531198515099,356.28888368854706,-555.8158504437771
100000.0,9,9.6333450285479e+24,-688115988.1011944,745235602.3666321,128609940.77305931,-253.7170203419945,-575.8436320788595,-575.5835397535358
110000.0,0,1.554118165150887e+23,-823607730.7997811,-154121101.80718,-501999041.0015234,804.1218921348952,-246.17293320950196,246.98252051510306
110000.0,1,2.6523384296295672e+23,193369466.56106672,499087880.0300087,-156368145.1503036,-233.8488974401187,-231.7104462378842,-384.1250308134317
110000.0,2,9.406705410554697e+24,-688324328.2771564,-136493185.4890847,-327375944.4366406,-319.7868009368547,-220.12550019705583,-491.8742299103358
110000.0,3,3.358963612509865e+24,-724970227.6552213,493100639.83787876,-859090678.5943984,76.06232373389378,-293.6623524478689,-286.9357052765968
110000.0,4,7.418048871488694e+24,807505792.7345105,49565591.26173697,-817146631.1331117,-295.79079948715827,490.12729043455744,-373.7697971216188
110000.0,5,3.685693586328256e+24,-260342609.0847222,414215793.6340144,-638341554.7981975,108.94007010322235,287.90119848091905,-345.9773384874326
110000.0,6,6.226357146557448e+24,58469590.46093197,-570745939.9614495,115937886.47804588,293.2230614429516,203.47039993881478,-595.1991203308687
110000.0,7,8.465520410768719e+24,202965594.02864206,875185482.6190592,188875330.9395747,-217.44000252361354,-20.020306459712042,-578.1550431261088
110000.0,8,6.293250332675079e+24,565147253.2411242,-147400160.5003907,-79647210.34284252,-511.74762342296765,360.06060364014354,-561.1298445152004
110000.0,9,9.6333450285479e+24,-690595302.1781077,739429908.4058523,122814819.68358968,-242.13852485252076,-585.2930961222161,-583.4523947125643
120000.0,0,1.554118165150887e+23,-815107872.8513963,-156473398.54991436,-498985703.6164186,897.1798959674142,-223.88815549621205,358.2364055566226
120000.0,1,2.6523384296295672e+23,190985617.58155057,496781342.88094866,-160163450.24099198,-242.9110054472203,-229.60477515826327,-374.9696336389318
120000.0,2,9.406705410554697e+24,-691470010.9539909,-138636845.84729338,-332292902.5207389,-309.37164304274256,-208.60020303203282,-491.55213610543865
120000.0,3,3.358963612509865e+24,-724137731.471606,490121607.5638562,-861861396.7670367,90.44280511629422,-302.13465253336904,-267.19005115506775
